track_title,id,artist,hotness,genre,genreid,year
Deeper And Deeper,66,Madonna,35,Pop,5,1993
Rain,67,Madonna,34,Pop,5,1993
That’s What Love Can Do,70,Boy Krazy,31,Pop,5,1993
Do You Believe In Us,71,Jon Secada,30,Pop,5,1993
Angel,72,Jon Secada,29,Pop,5,1993
Again,74,Janet Jackson,27,Pop,5,1993
To Love Somebody,83,Michael Bolton,18,Pop,5,1993
Faithful,89,Go West,12,Pop,5,1993
Nothin’ My Love Can’t Fix,92,Joey Lawrence,9,Pop,5,1993
Can’t Get Enough Of Your Love,99,Taylor Dayne,2,Pop,5,1993
7,52,Prince and The New Power Generation,49,Pop rock,6,1993
How Do You Talk To An Angel,80,Heights,21,Pop rock,6,1993
Two Steps Behind,100,Def Leppard,1,Pop rock,6,1993
I Will Always Love You,1,Whitney Houston,100,R&B,7,1993
That’s The Way Love Goes,4,Janet Jackson,97,R&B,7,1993
Freak Me,5,Silk,96,R&B,7,1993
Weak,6,SWV,95,R&B,7,1993
If I Ever Fall In Love,7,Shai,94,R&B,7,1993
In The Still Of The Nite,12,Boyz II Men,89,R&B,7,1993
Don’t Walk Away,13,Jade,88,R&B,7,1993
Knockin’ Da Boots,14,H-Town,87,R&B,7,1993
Lately,15,Jodeci,86,R&B,7,1993
I’m So Into You,20,SWV,81,R&B,7,1993
Love Is,21,Vanessa Williams and Brian Mcknight,80,R&B,7,1993
Right Here (Human Nature)-Downtown,29,SWV,72,R&B,7,1993
I Have Nothing,30,Whitney Houston,71,R&B,7,1993
If I Had No Loot,35,Tony! Toni! Tone!,66,R&B,7,1993
Looking Through Patient Eyes,38,P.M. Dawn,63,R&B,7,1993
Baby I’m Yours,40,Shai,61,R&B,7,1993
I’d Die Without You,43,P.M. Dawn,58,R&B,7,1993
Another Sad Love Song,46,Toni Braxton,55,R&B,7,1993
Comforter,48,Shai,53,R&B,7,1993
Good Enough,49,Bobby Brown,52,R&B,7,1993
One Last Cry,54,Brian McKnight,47,R&B,7,1993
Just Kickin’ It,55,Xscape,46,R&B,7,1993
Real Love,58,Mary J. Blige,43,R&B,7,1993
Here We Go Again!,59,Portrait,42,R&B,7,1993
Hey Mr. D.J.,64,Zhane,37,R&B,7,1993
The Right Kind Of Love,68,Jeremy Jordan,33,R&B,7,1993
"Give It Up, Turn It Loose",84,En Vogue,17,R&B,7,1993
Ooh Child,88,Dino,13,R&B,7,1993
Anniversary,97,Tony! Toni! Tone!,4,R&B,7,1993
One Woman,98,Jade,3,R&B,7,1993
Can’t Help Falling In Love,3,UB40,98,Reggae,10,1993
Informer,10,Snow,91,Reggae,10,1993
Bad Boys,69,Inner Circle,32,Reggae,10,1993
